id,brand,model,version,reference,city,mileage,startingPrice,soldPrice,status,sourceUrl
878,AUDI,"A1 Sportback","A1 Sportback 25 TFSI 95 ch BVM5 Advanced Gris médium / Toit",11369925,LORIENT,16144,14200.0,,unsold,https://vpauto.fr/vehicule/83387444/audi-a1-sportback-25-tfsi-95-ch-bvm5-advanced
1332,AUDI,"A4 2.0","A4 2.0 TDI 143 DPF Ambiente",11376479,LORIENT,249120,,3500.0,sold,https://vpauto.fr/vehicule/b57162b44/audi-a4-20-tdi-143-dpf-ambiente
225,BMW,"X1 xDrive","X1 xDrive 25e 245ch DKG7 M Sport",11391015,LORIENT,93159,28700.0,,unsold,https://vpauto.fr/vehicule/91aba78b44/bmw-x1-xdrive-25e-245ch-dkg7-m-sport
875,CITROEN,AMI,AMI,11399969,LORIENT,999999,,3300.0,sold,https://vpauto.fr/vehicule/aa762dc644/citroen-ami
826,CITROEN,"BERLINGO 20","BERLINGO 20 L1 BlueHDi 100 S&S CLUB ETG6",11376176,LORIENT,102045,1900.0,,unsold,https://vpauto.fr/vehicule/e3ad173944/citroen-berlingo-20-l1-bluehdi-100-ss-club-etg6
1933,CITROEN,"BERLINGO FOURGON","BERLINGO FOURGON BERLINGO M BLUEHDI 100 S&S ETG6 CLUB",,LORIENT,112822,,,available,https://vpauto.fr/vehicule/312e75f544/citroen-berlingo-fourgon-berlingo-m-bluehdi-100-ss-etg6-club
1976,CITROEN,"BERLINGO FOURGON","BERLINGO FOURGON BERLINGO M BLUEHDI 100 S&S ETG6 CLUB",,LORIENT,150477,,,available,https://vpauto.fr/vehicule/833368b644/citroen-berlingo-fourgon-berlingo-m-bluehdi-100-ss-etg6-club
1805,CITROEN,"BERLINGO M","BERLINGO M BLUEHDI 100 S&S ETG6 CLUB",,LORIENT,163396,1800.0,,available,https://vpauto.fr/vehicule/419d372044/citroen-berlingo-m-bluehdi-100-ss-etg6-club
804,CITROEN,"BERLINGO M","BERLINGO M BLUEHDI 100 S&S ETG6 CLUB",11401003,LORIENT,133604,1600.0,1700.0,unsold,https://vpauto.fr/vehicule/9c70af4d44/citroen-berlingo-m-bluehdi-100-ss-etg6-club
1455,CITROEN,"BERLINGO M","BERLINGO M BLUEHDI 100 S&S ETG6 CLUB",11406223,LORIENT,181318,1800.0,1500.0,sold,https://vpauto.fr/vehicule/51b06e3c44/citroen-berlingo-m-bluehdi-100-ss-etg6-club
883,CITROEN,"BERLINGO M","BERLINGO M BLUEHDI 100 S&S ETG6 CLUB",11386373,LORIENT,123773,,,unsold,https://vpauto.fr/vehicule/a21aac4c44/citroen-berlingo-m-bluehdi-100-ss-etg6-club
1327,CITROEN,"BERLINGO M","BERLINGO M BLUEHDI 75 CLUB",11386372,LORIENT,139740,,,unsold,https://vpauto.fr/vehicule/7a17705d44/citroen-berlingo-m-bluehdi-75-club
614,CITROEN,"BERLINGO VAN","BERLINGO VAN XL 950 BLUEHDI 100 S&S BVM6",11397706,LORIENT,6625,,16500.0,sold,https://vpauto.fr/vehicule/3da9109744/citroen-berlingo-van-xl-950-bluehdi-100-ss-bvm6
553,CITROEN,"C3 PureTech","C3 PureTech 83 S&S BVM5 Shine Pack Gris médium métal/toit",11400266,LORIENT,83031,4600.0,,unsold,https://vpauto.fr/vehicule/aa2529f544/citroen-c3-puretech-83-ss-bvm5-shine-pack
796,CITROEN,"C3 PureTech","C3 PureTech 82 Feel",11400188,LORIENT,67674,,3200.0,sold,https://vpauto.fr/vehicule/d2a3e5c144/citroen-c3-puretech-82-feel
797,CITROEN,"C3 SOCIETE","C3 SOCIETE PURE TECH 82 S&S FEEL BUSINESS R",11384254,LORIENT,97399,,3200.0,sold,https://vpauto.fr/vehicule/3c7cf2d44/citroen-c3-societe-pure-tech-82-ss-feel-business-r
2333,CITROEN,"C4 Picasso","C4 Picasso HDi 110 FAP Airdream Exclusive BMP6",,LORIENT,123143,,,available,https://vpauto.fr/vehicule/7fccf34644/citroen-c4-picasso-hdi-110-fap-airdream-exclusive-bmp6
1354,CITROEN,"C5 AIRCROSS","C5 Aircross Hybride Rechargeable 225 e-EAT8 Feel",11401933,LORIENT,134782,11800.0,,unsold,https://vpauto.fr/vehicule/d2e0d66444/citroen-c5-aircross-hybride-rechargeable-225-e-eat8-feel
1296,CITROEN,"C5 AIRCROSS","C5 Aircross BlueHDi 130 S&S BVM6 Live",11402544,LORIENT,107284,,12300.0,sold,https://vpauto.fr/vehicule/e1356b2944/citroen-c5-aircross-bluehdi-130-ss-bvm6-live
740,CITROEN,"C5 AIRCROSS","C5 Aircross BlueHDi 130 S&S EAT8 Business",11396446,LORIENT,144252,11300.0,,unsold,https://vpauto.fr/vehicule/61a1301844/citroen-c5-aircross-bluehdi-130-ss-eat8-business
